"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"D1,D3","2","D","","","","Diode_SMD:SODFL1608X70N","~"
"D5","1","BMS","","","","LED_SMD:LED_0201_0603Metric","~"
"D6","1","IMD","","","","LED_SMD:LED_0201_0603Metric","~"
"D8","1","END_CHAIN","","","","LED_SMD:LED_0201_0603Metric","~"
"J2","1","776280-1","","","","SDM_MiscFootprint:776280-1","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1-1773979-2&DocType=Data%20Sheet&DocLang=English&PartCntxt=776280-1&DocFormat=pdf"
"K1,K3","2","PR2212V4001A","","","","Shutdown_Footprint:PR2212V4001A","https://www.sameskydevices.com/product/resource/PR22-12V-400-1A.pdf"
"Q1,Q3","2","2N2222","","","","Shutdown_Footprint:ZXM61N02FTC","https://www.diodes.com/assets/Datasheets/ZXM61N02F.pdf"
"R4,R6,R8","3","220","","","","Resistor_SMD:R_0201_0603Metric","~"
